MQ3_raw,MQ135_raw,MQ2_raw,label
955,1266,332,Interference
956,1267,332,Interference
957,1265,331,Interference
959,1266,327,Interference
959,1266,331,Interference
958,1265,331,Interference
959,1266,330,Interference
958,1265,332,Interference
957,1264,330,Interference
958,1267,331,Interference
957,1267,331,Interference
959,1266,332,Interference
959,1267,331,Interference
959,1266,330,Interference
958,1265,330,Interference
959,1267,332,Interference
959,1268,332,Interference
960,1269,333,Interference
956,1266,333,Interference
958,1265,332,Interference
959,1266,331,Interference
960,1267,334,Interference
959,1269,335,Interference
959,1269,334,Interference
957,1271,335,Interference
957,1269,331,Interference
957,1269,331,Interference
958,1269,333,Interference
959,1269,335,Interference
958,1268,334,Interference
958,1269,331,Interference
961,1267,333,Interference
960,1269,336,Interference
960,1268,333,Interference
960,1267,335,Interference
960,1269,335,Interference
959,1267,333,Interference
960,1266,336,Interference
960,1270,336,Interference
960,1269,335,Interference
959,1266,336,Interference
958,1269,334,Interference
959,1267,336,Interference
958,1266,336,Interference
960,1269,336,Interference
960,1267,335,Interference
959,1268,333,Interference
960,1269,336,Interference
960,1268,336,Interference
959,1267,333,Interference
960,1267,336,Interference
959,1267,334,Interference
957,1267,336,Interference
957,1270,335,Interference
959,1267,331,Interference
960,1271,336,Interference
960,1270,333,Interference
959,1267,333,Interference
961,1269,336,Interference
958,1267,335,Interference
958,1266,335,Interference
959,1267,332,Interference
959,1266,335,Interference
955,1268,331,Interference
959,1267,332,Interference
959,1268,333,Interference
959,1266,334,Interference
958,1268,334,Interference
959,1267,335,Interference
960,1259,331,Interference
960,1267,334,Interference
959,1267,334,Interference
959,1267,331,Interference
961,1270,333,Interference
960,1269,335,Interference
960,1269,335,Interference
960,1270,333,Interference
958,1267,335,Interference
959,1269,335,Interference
958,1269,335,Interference
960,1269,331,Interference
959,1267,336,Interference
959,1269,334,Interference
961,1267,335,Interference
959,1266,334,Interference
959,1267,333,Interference
959,1267,335,Interference
955,1266,333,Interference
957,1267,332,Interference
958,1266,331,Interference
959,1266,327,Interference
957,1266,330,Interference
959,1267,334,Interference
960,1269,336,Interference
959,1268,331,Interference
959,1267,331,Interference
958,1269,333,Interference
960,1267,335,Interference
958,1267,332,Interference
955,1267,330,Interference
959,1266,332,Interference
957,1266,330,Interference
955,1267,331,Interference
959,1267,331,Interference
957,1267,333,Interference
958,1268,334,Interference
957,1268,331,Interference
957,1268,331,Interference
957,1268,332,Interference
955,1267,335,Interference
958,1270,335,Interference
958,1269,333,Interference
959,1267,334,Interference
959,1267,336,Interference
958,1267,334,Interference
958,1267,335,Interference
959,1269,334,Interference
959,1269,335,Interference
957,1266,332,Interference
958,1267,333,Interference
958,1266,331,Interference
957,1265,333,Interference
958,1266,333,Interference
956,1267,332,Interference
958,1267,334,Interference
957,1267,335,Interference
959,1266,333,Interference
959,1264,334,Interference
955,1266,333,Interference
960,1267,335,Interference
956,1267,333,Interference
958,1267,333,Interference
958,1267,335,Interference
959,1268,335,Interference
959,1267,333,Interference
960,1267,335,Interference
959,1269,335,Interference
959,1269,336,Interference
961,1269,336,Interference
960,1264,335,Interference
959,1269,334,Interference
958,1266,334,Interference
961,1266,334,Interference
959,1268,334,Interference
959,1267,335,Interference
958,1267,334,Interference
959,1268,331,Interference
960,1267,335,Interference
960,1269,333,Interference
959,1267,331,Interference
958,1266,327,Interference
957,1267,329,Interference
958,1266,329,Interference
959,1267,331,Interference
959,1265,330,Interference
959,1270,331,Interference
960,1267,334,Interference
958,1268,332,Interference
960,1270,335,Interference
959,1269,335,Interference
960,1269,333,Interference
959,1267,334,Interference
959,1267,333,Interference
